Name,SMILES
L55,CC1(C)[C@H]2Cc3cc(-c4ccco4)[n+]([O-])c(-c4c5c(cc(-c6ccco6)[n+]4[O-])C[C@H]4C[C@@H]5C4(C)C)c3[C@@H]1C2
L56,CC1(C)[C@H]2Cc3cc(-c4cccs4)[n+]([O-])c(-c4c5c(cc(-c6cccs6)[n+]4[O-])C[C@H]4C[C@@H]5C4(C)C)c3[C@@H]1C2
L57,CC1(C)[C@H]2Cc3cc(-c4ccsc4)[n+]([O-])c(-c4c5c(cc(-c6ccsc6)[n+]4[O-])C[C@H]4C[C@@H]5C4(C)C)c3[C@@H]1C2
L58,CC1(C)[C@H]2Cc3cc(-c4ccccc4)nc(-c4nc(-c5ccccc5)cc5c4[C@@H]4C[C@H](C5)C4(C)C)c3[C@@H]1C2
L59,CC1(C)[C@H]2Cc3cc(-c4cccs4)nc(-c4nc(-c5cccs5)cc5c4[C@@H]4C[C@H](C5)C4(C)C)c3[C@@H]1C2
L60,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12
L61,O=P(c1ccccc1)(c1ccccc1)c1ccc2ccccc2c1-c1c(P(=O)(c2ccccc2)c2ccccc2)ccc2ccccc12
L62,c1ccc2c3c(ccc2c1)Cn1c(nc2ccccc21)-c1nc2ccccc2n1Cc1ccc2ccccc2c1-3
L63,Clc1cccc(Cl)c1/C=N/c1cccc2c1C1(CC2)CCc2cccc(/N=C/c3c(Cl)cccc3Cl)c21
L64,Clc1ccc(/C=N/c2cccc3c2C2(CC3)CCc3cccc(/N=C/c4ccc(Cl)cc4Cl)c32)c(Cl)c1
L65,Clc1ccccc1/C=N/c1cccc2c1C1(CC2)CCc2cccc(/N=C/c3ccccc3Cl)c21
L66,COc1ccccc1/C=N/c1cccc2c1C1(CC2)CCc2cccc(/N=C/c3ccccc3OC)c21
L67,C(=N/c1cccc2c1C1(CC2)CCc2cccc(/N=C/c3ccc4ccccc4c3)c21)\c1ccc2ccccc2c1
L68,c1ccc([C@@H]2COC(C3=N[C@H](c4ccccc4)CO3)=N2)cc1
L69,CC(C)(C1=N[C@@H](C2CCCCC2)CO1)C1=N[C@@H](C2CCCCC2)CO1
L70,CC(C)[C@H]1COC(c2cccc3c2[Si]2(C[C@H]3C)C[C@@H](C)c3cccc(C4=N[C@@H](C(C)C)CO4)c32)=N1
L71,C[C@@H]1C[Si]2(C[C@@H](C)c3cccc(C4=N[C@@H](C5CCCCC5)CO4)c32)c2c(C3=N[C@@H](C4CCCCC4)CO3)cccc21
L72,CC[C@H](C)[C@H]1COC(c2cccc3c2[Si]2(C[C@H]3C)C[C@@H](C)c3cccc(C4=N[C@@H]([C@@H](C)CC)CO4)c32)=N1
L73,C[C@@H]1C[Si]2(C[C@@H](C)c3cccc(C4=N[C@@H](C(C)(C)C)CO4)c32)c2c(C3=N[C@@H](C(C)(C)C)CO3)cccc21
L74,c1ccc2c3c(ccc2c1)Cn1c(nc2ccccc21)-c1nc2ccccc2n1Cc1ccc2ccccc2c1-3
L75,CC(C)(C1=N[C@H](c2ccccc2)CO1)C1=N[C@H](c2ccccc2)CO1
L76,CC(C)C[C@@H]1COC(C(C#N)C2=N[C@H](CC(C)C)CO2)=N1
L77,CC[C@H]1CC[C@H](CC)P1c1ccccc1P1[C@@H](CC)CC[C@@H]1CC
L78,c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1
L79,c1ccc([C@@H]2COC(c3ccc4ccccc4c3-c3c(C4=N[C@H](c5ccccc5)CO4)ccc4ccccc34)=N2)cc1
L80,c1ccc([C@@H]2COC(c3ccc4ccccc4c3-c3c(C4=N[C@H](c5ccccc5)CO4)ccc4ccccc34)=N2)cc1
L81,c1ccc([C@@H]2COC(c3cccc4c3C3(CC4)CCc4cccc(C5=N[C@H](c6ccccc6)CO5)c43)=N2)cc1
L82,c1ccc(C[C@@H]2COC(c3cccc4c3C3(CC4)CCc4cccc(C5=N[C@H](Cc6ccccc6)CO5)c43)=N2)cc1
L83,CC(C)[C@@H]1COC(c2cccc3c2C2(CC3)CCc3cccc(C4=N[C@H](C(C)C)CO4)c32)=N1
L84,CC(C)(C)[C@@H]1COC(c2cccc3c2C2(CC3)CCc3cccc(C4=N[C@H](C(C)(C)C)CO4)c32)=N1
L85,c1ccc([C@@H]2COC(c3cccc4c3C3(CC4)CCc4cccc(C5=N[C@H](c6ccccc6)CO5)c43)=N2)cc1
L86,c1cc2c(c(C3=NCCO3)c1)C1(CC2)CCc2cccc(C3=NCCO3)c21
L87,c1ccc([C@@H]2COC(c3cccc(C4=N[C@H](c5ccccc5)CO4)n3)=N2)cc1
L88,CC(C)(C)P(c1ccccc1[C@@H]1N(c2ccccc2)C(=O)[C@H]2Cc3ccccc3N21)C(C)(C)C
L89,c1ccc([C@H]2COC([C@@H]3[C@H]4c5ccccc5[C@H](c5ccccc54)[C@H]3C3=N[C@@H](c4ccccc4)CO3)=N2)cc1
L90,CC(C)C[C@H]1COC([C@@H]2[C@H]3c4ccccc4[C@H](c4ccccc43)[C@H]2C2=N[C@@H](CC(C)C)CO2)=N1
L91,CC(C)(C)[C@@H]1COC([C@H]2[C@H]3c4ccccc4[C@H](c4ccccc43)[C@@H]2C2=N[C@H](C(C)(C)C)CO2)=N1
L92,C[C@H]1C[Si]2(C[C@H](C)c3cccc(C4=N[C@H](Cc5ccccc5)CO4)c32)c2c(C3=N[C@H](Cc4ccccc4)CO3)cccc21
L93,C[C@H]1Oc2cccnc2-c2ncccc2O[C@@H]1C
L94,C[C@@H]1CC[C@@H](C)Oc2cccnc2-c2ncccc2O1
L95,C[C@@H]1C[C@@H](C)Oc2cccnc2-c2ncccc2O1
L96,c1ccc2c3c(ccc2c1)Cn1c(nc2ccccc21)-c1nc2ccccc2n1Cc1ccc2ccccc2c1-3
L97,c1ccc(-c2cc3ccccc3c3c2Cn2ccnc2-c2nccn2Cc2c(-c4ccccc4)cc4ccccc4c2-3)cc1
L98,Fc1ccc(-c2cc3ccccc3c3c2Cn2ccnc2-c2nccn2Cc2c(-c4ccc(F)cc4)cc4ccccc4c2-3)cc1
L99,c1ccc(-c2cc(-c3ccccc3)cc(-c3cc4ccccc4c4c3Cn3ccnc3-c3nccn3Cc3c(-c5cc(-c6ccccc6)cc(-c6ccccc6)c5)cc5ccccc5c3-4)c2)cc1
L100,Fc1cc(-c2cc3ccccc3c3c2Cn2ccnc2-c2nccn2Cc2c(-c4cc(F)c(F)c(F)c4)cc4ccccc4c2-3)cc(F)c1F
L101,c1ccc2cc(-c3cc4ccccc4c4c3Cn3ccnc3-c3nccn3Cc3c(-c5ccc6ccccc6c5)cc5ccccc5c3-4)ccc2c1
L102,O=C1N[C@H](c2cc3ccccc3c(-c3c(O)c([C@H]4NC(=O)[C@H]5CCC[N@@+]54[O-])cc4ccccc34)c2O)[N@@+]2([O-])CCC[C@H]12
L103,O=C1N[C@H](c2cc3ccccc3c(-c3c(O)c([C@H]4NC(=O)[C@H]5CCCN54)cc4ccccc34)c2O)N2CCC[C@H]12
L104,O=C1N[C@@H](c2cc3ccccc3c(-c3c(O)c([C@@H]4NC(=O)[C@H]5CCCN54)cc4ccccc34)c2O)N2CCC[C@H]12
L105,O=C1N[C@@H](c2cc3c(c(-c4c(O)c([C@@H]5NC(=O)[C@H]6CCCN65)cc5c4CCCC5)c2O)CCCC3)N2CCC[C@H]12
L106,COCOc1c([C@@H]2NC(=O)[C@H]3CCCN32)cc2ccccc2c1-c1c(OCOC)c([C@@H]2NC(=O)[C@H]3CCCN32)cc2ccccc12
L107,O=C1N[C@@H](c2cccc([C@@H]3NC(=O)[C@H]4CCCN43)c2)N2CCC[C@H]12
L108,C[C@H](c1ccccc1)N(C)Cc1cc2ccccc2c(-c2c(O)c(CN(C)[C@H](C)c3ccccc3)cc3ccccc23)c1O
L109,C[C@H](c1ccccc1)N(C)Cc1cc2ccccc2c(-c2c(O)c(CN(C)[C@H](C)c3ccccc3)cc3ccccc23)c1O
L110,CC[C@@H](C)[C@@H]1COC(c2cccc3c2[Si]2(CC3)CCc3cccc(C4=N[C@H]([C@H](C)CC)CO4)c32)=N1
L111,Clc1cccc(Cl)c1/C=N/[C@H]1CCCC[C@@H]1/N=C/c1c(Cl)cccc1Cl
L112,CC(CC1=N[C@@H]2c3ccccc3C[C@@H]2O1)(C1=N[C@@H]2c3ccccc3C[C@@H]2O1)C1=N[C@@H]2c3ccccc3C[C@@H]2O1
L113,c1ccc(C[C@@H]2COC(c3cccc4c3C3(CC4)CCc4cccc(C5=N[C@H](Cc6ccccc6)CO5)c43)=N2)cc1
L114,CC(C)[C@@H]1COC(c2cccc3c2C2(CC3)CCc3cccc(C4=N[C@H](C(C)C)CO4)c32)=N1
L115,CC(C)(C)[C@@H]1COC(c2cccc3c2C2(CC3)CCc3cccc(C4=N[C@H](C(C)(C)C)CO4)c32)=N1
L116,C[C@H]1C[Si]2(C[C@H](C)c3cccc(C4=N[C@H](c5ccccc5)CO4)c32)c2c(C3=N[C@H](c4ccccc4)CO3)cccc21
L117,C[C@H]1C[Si]2(C[C@H](C)c3cccc(C4=N[C@@H](c5ccccc5)CO4)c32)c2c(C3=N[C@@H](c4ccccc4)CO3)cccc21
L118,CC1(C)[C@@H]2Cc3cc(-c4ccccc4)[n+]([O-])c(-c4c5c(cc(-c6ccccc6)[n+]4[O-])C[C@@H]4C[C@H]5C4(C)C)c3[C@H]1C2
L119,CC1(C)[C@@H]2Cc3cc(-c4cc(C(F)(F)F)cc(C(F)(F)F)c4)[n+]([O-])c(-c4c5c(cc(-c6cc(C(F)(F)F)cc(C(F)(F)F)c6)[n+]4[O-])C[C@@H]4C[C@H]5C4(C)C)c3[C@H]1C2
L120,CC1(C)[C@@H]2Cc3cc(-c4ccc(F)cc4)[n+]([O-])c(-c4c5c(cc(-c6ccc(F)cc6)[n+]4[O-])C[C@@H]4C[C@H]5C4(C)C)c3[C@H]1C2
L121,COc1ccc(-c2cc3c(c(-c4c5c(cc(-c6ccc(OC)cc6)[n+]4[O-])C[C@@H]4C[C@H]5C4(C)C)[n+]2[O-])[C@H]2C[C@@H](C3)C2(C)C)cc1
L122,CC(C)(C)c1cc2c(c(-c3c4c(cc(C(C)(C)C)[n+]3[O-])C[C@@H]3C[C@H]4C3(C)C)[n+]1[O-])[C@H]1C[C@@H](C2)C1(C)C
L123,CC1(C)[C@@H]2Cc3cc(-c4ccco4)[n+]([O-])c(-c4c5c(cc(-c6ccco6)[n+]4[O-])C[C@@H]4C[C@H]5C4(C)C)c3[C@H]1C2
L124,CC1(C)[C@@H]2Cc3cc(-c4cccs4)[n+]([O-])c(-c4c5c(cc(-c6cccs6)[n+]4[O-])C[C@@H]4C[C@H]5C4(C)C)c3[C@H]1C2
L125,CC1(C)[C@@H]2Cc3cc(-c4ccsc4)[n+]([O-])c(-c4c5c(cc(-c6ccsc6)[n+]4[O-])C[C@@H]4C[C@H]5C4(C)C)c3[C@H]1C2
L126,CC1(C)[C@@H]2Cc3cc(-c4ccccc4)nc(-c4nc(-c5ccccc5)cc5c4[C@H]4C[C@@H](C5)C4(C)C)c3[C@H]1C2
L127,CC1(C)[C@@H]2Cc3cc(-c4cccs4)nc(-c4nc(-c5cccs5)cc5c4[C@H]4C[C@@H](C5)C4(C)C)c3[C@H]1C2
L128,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12
L129,O=P(c1ccccc1)(c1ccccc1)c1ccc2ccccc2c1-c1c(P(=O)(c2ccccc2)c2ccccc2)ccc2ccccc12
L130,Clc1cccc(Cl)c1/C=N/c1cccc2c1C1(CC2)CCc2cccc(/N=C/c3c(Cl)cccc3Cl)c21
L131,Clc1ccc(/C=N/c2cccc3c2C2(CC3)CCc3cccc(/N=C/c4ccc(Cl)cc4Cl)c32)c(Cl)c1
L132,Clc1ccccc1/C=N/c1cccc2c1C1(CC2)CCc2cccc(/N=C/c3ccccc3Cl)c21
L133,COc1ccccc1/C=N/c1cccc2c1C1(CC2)CCc2cccc(/N=C/c3ccccc3OC)c21
L134,C(=N/c1cccc2c1C1(CC2)CCc2cccc(/N=C/c3ccc4ccccc4c3)c21)\c1ccc2ccccc2c1
L135,c1ccc([C@H]2COC(C3=N[C@@H](c4ccccc4)CO3)=N2)cc1
L136,CC(C)(C1=N[C@H](C2CCCCC2)CO1)C1=N[C@H](C2CCCCC2)CO1
L137,CC(C)[C@@H]1COC(c2cccc3c2[Si]2(C[C@@H]3C)C[C@H](C)c3cccc(C4=N[C@H](C(C)C)CO4)c32)=N1
L138,C[C@H]1C[Si]2(C[C@H](C)c3cccc(C4=N[C@H](C5CCCCC5)CO4)c32)c2c(C3=N[C@H](C4CCCCC4)CO3)cccc21
L139,CC[C@@H](C)[C@@H]1COC(c2cccc3c2[Si]2(C[C@@H]3C)C[C@H](C)c3cccc(C4=N[C@H]([C@H](C)CC)CO4)c32)=N1
L140,C[C@H]1C[Si]2(C[C@H](C)c3cccc(C4=N[C@H](C(C)(C)C)CO4)c32)c2c(C3=N[C@H](C(C)(C)C)CO3)cccc21
L141,c1ccc(-c2cc3ccccc3c3c2Cn2ccnc2-c2nccn2Cc2c(-c4ccccc4)cc4ccccc4c2-3)cc1
L142,c1ccc(-c2cc3ccccc3c3c2Cn2ccnc2-c2nccn2Cc2c(-c4ccccc4)cc4ccccc4c2-3)cc1
L143,Cc1cccc(C(=C=C(c2cccc(C)n2)C(C)(C)C)C(C)(C)C)n1
L144,Cc1cccc(C(=C=C(c2cccc(C)n2)C(C)(C)C)C(C)(C)C)n1
