Name,SMILES,Stereo_tag,Metal_Name,Metal_SMILES,Ligand_Name,Ligand_SMILES,Diazo_Name,Diazo_SMILES
M4_L57_D1,[Cu+].CC1(C)[C@H]2Cc3cc(-c4ccsc4)[n+]([O-])c(-c4c5c(cc(-c6ccsc6)[n+]4[O-])C[C@H]4C[C@@H]5C4(C)C)c3[C@@H]1C2.COC(=O)C(=[N+]=[N-])c1ccccc1,-1,M4,[Cu+],L57,CC1(C)[C@H]2Cc3cc(-c4ccsc4)[n+]([O-])c(-c4c5c(cc(-c6ccsc6)[n+]4[O-])C[C@H]4C[C@@H]5C4(C)C)c3[C@@H]1C2,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L58_D1,[Cu+].CC1(C)[C@H]2Cc3cc(-c4ccccc4)nc(-c4nc(-c5ccccc5)cc5c4[C@@H]4C[C@H](C5)C4(C)C)c3[C@@H]1C2.COC(=O)C(=[N+]=[N-])c1ccccc1,1,M4,[Cu+],L58,CC1(C)[C@H]2Cc3cc(-c4ccccc4)nc(-c4nc(-c5ccccc5)cc5c4[C@@H]4C[C@H](C5)C4(C)C)c3[C@@H]1C2,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L59_D1,[Cu+].CC1(C)[C@H]2Cc3cc(-c4cccs4)nc(-c4nc(-c5cccs5)cc5c4[C@@H]4C[C@H](C5)C4(C)C)c3[C@@H]1C2.COC(=O)C(=[N+]=[N-])c1ccccc1,1,M4,[Cu+],L59,CC1(C)[C@H]2Cc3cc(-c4cccs4)nc(-c4nc(-c5cccs5)cc5c4[C@@H]4C[C@H](C5)C4(C)C)c3[C@@H]1C2,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L60_D1,[Cu+].Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12.COC(=O)C(=[N+]=[N-])c1ccccc1,1,M4,[Cu+],L60,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L61_D1,[Cu+].O=P(c1ccccc1)(c1ccccc1)c1ccc2ccccc2c1-c1c(P(=O)(c2ccccc2)c2ccccc2)ccc2ccccc12.COC(=O)C(=[N+]=[N-])c1ccccc1,1,M4,[Cu+],L61,O=P(c1ccccc1)(c1ccccc1)c1ccc2ccccc2c1-c1c(P(=O)(c2ccccc2)c2ccccc2)ccc2ccccc12,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L62_D1,[Cu+].c1ccc2c3c(ccc2c1)Cn1c(nc2ccccc21)-c1nc2ccccc2n1Cc1ccc2ccccc2c1-3.COC(=O)C(=[N+]=[N-])c1ccccc1,2,M4,[Cu+],L62,c1ccc2c3c(ccc2c1)Cn1c(nc2ccccc21)-c1nc2ccccc2n1Cc1ccc2ccccc2c1-3,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L63_D1,[Cu+].Clc1cccc(Cl)c1/C=N/c1cccc2c1C1(CC2)CCc2cccc(/N=C/c3c(Cl)cccc3Cl)c21.COC(=O)C(=[N+]=[N-])c1ccccc1,1,M4,[Cu+],L63,Clc1cccc(Cl)c1/C=N/c1cccc2c1C1(CC2)CCc2cccc(/N=C/c3c(Cl)cccc3Cl)c21,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L64_D1,[Cu+].Clc1ccc(/C=N/c2cccc3c2C2(CC3)CCc3cccc(/N=C/c4ccc(Cl)cc4Cl)c32)c(Cl)c1.COC(=O)C(=[N+]=[N-])c1ccccc1,1,M4,[Cu+],L64,Clc1ccc(/C=N/c2cccc3c2C2(CC3)CCc3cccc(/N=C/c4ccc(Cl)cc4Cl)c32)c(Cl)c1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L65_D1,[Cu+].Clc1ccccc1/C=N/c1cccc2c1C1(CC2)CCc2cccc(/N=C/c3ccccc3Cl)c21.COC(=O)C(=[N+]=[N-])c1ccccc1,1,M4,[Cu+],L65,Clc1ccccc1/C=N/c1cccc2c1C1(CC2)CCc2cccc(/N=C/c3ccccc3Cl)c21,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L66_D1,[Cu+].COc1ccccc1/C=N/c1cccc2c1C1(CC2)CCc2cccc(/N=C/c3ccccc3OC)c21.COC(=O)C(=[N+]=[N-])c1ccccc1,1,M4,[Cu+],L66,COc1ccccc1/C=N/c1cccc2c1C1(CC2)CCc2cccc(/N=C/c3ccccc3OC)c21,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
